Player,surface,AvgFirstServe,AvgSecondServe,FirstServeIn,L,LoseRatio,MatchCount,RatioPtsLess4,ServeFirstServePointsWon,ServeSecondServePointsWon,Total,W,WinRatio
Nicolas Mahut,All,184.7,148.2,60.5,153.0,0.2541528239202658,36.0,67.7,69.9,52.8,602.0,449.0,74.6
Novak Djokovic,All,183.4,150.0,66.6,358.0,0.12264474134977732,181.0,79.9,75.7,63.8,2919.0,2561.0,87.7
Paolo Lorenzi,All,184.5,141.5,58.5,120.0,0.25263157894736843,27.0,71.7,72.2,54.4,475.0,355.0,74.7
Philipp Kohlschreiber,All,177.6,148.8,60.9,151.0,0.16167023554603854,55.0,74.5,73.8,60.2,934.0,783.0,83.8
Rafael Nadal,All,178.6,147.9,67.5,284.0,0.1342155009451796,132.0,79.5,73.8,64.9,2116.0,1832.0,86.6
Richard Gasquet,All,175.6,147.6,61.4,247.0,0.16080729166666666,93.0,75.5,74.1,57.9,1536.0,1289.0,83.9
Roberto Bautista Agut,All,171.4,145.4,67.4,165.0,0.2223719676549865,44.0,72.6,68.8,56.2,742.0,577.0,77.8
Robin Haase,All,184.8,152.9,60.5,146.0,0.25704225352112675,32.0,71.7,70.8,51.9,568.0,422.0,74.3
Roger Federer,All,186.2,156.9,64.6,249.0,0.10040322580645161,148.0,81.4,80.9,63.2,2480.0,2231.0,90.0
Ryan Harrison,All,193.5,164.8,55.9,133.0,0.258252427184466,29.0,71.2,73.1,53.1,515.0,382.0,74.2
Sam Querrey,All,197.4,153.1,59.5,168.0,0.14201183431952663,61.0,77.7,80.9,57.4,1183.0,1015.0,85.8
Santiago Giraldo,All,181.9,149.1,62.7,128.0,0.2800875273522976,26.0,62.6,69.3,50.2,457.0,329.0,72.0
Sergiy Stakhovsky,All,183.4,155.5,62.1,119.0,0.25591397849462366,28.0,68.5,71.9,55.3,465.0,346.0,74.4
Stanislas Wawrinka,All,188.6,153.5,57.9,292.0,0.13937947494033412,113.0,77.2,76.6,61.6,2095.0,1803.0,86.1
Steve Johnson,All,187.1,156.2,59.9,130.0,0.18309859154929578,37.0,73.5,73.7,57.0,710.0,580.0,81.7
Tomas Berdych,All,193.7,156.9,58.8,237.0,0.1314475873544093,108.0,78.3,79.1,58.5,1803.0,1566.0,86.9
Tommy Haas,All,171.6,152.8,63.6,96.0,0.2171945701357466,26.0,69.9,71.1,63.7,442.0,346.0,78.3
Tommy Robredo,All,170.0,147.1,66.5,114.0,0.18009478672985782,35.0,77.0,73.6,61.5,633.0,519.0,82.0
Viktor Troicki,All,186.7,146.4,61.2,169.0,0.21638924455825864,44.0,70.3,71.8,54.9,781.0,612.0,78.4
Adrian Mannarino,Clay,176.0,134.1,62.1,43.0,0.3359375,8.0,63.2,63.5,54.6,128.0,85.0,66.4
Adrian Mannarino,Grass,175.6,146.0,64.9,58.0,0.21722846441947566,16.0,72.7,70.8,57.2,267.0,209.0,78.3
Adrian Mannarino,Hard,172.5,137.0,60.7,86.0,0.315018315018315,16.0,69.5,67.8,55.5,273.0,187.0,68.5
Albert Ramos,Clay,170.6,141.7,63.6,48.0,0.2553191489361702,11.0,71.9,66.8,58.2,188.0,140.0,74.5
Albert Ramos,Grass,184.3,151.6,64.3,42.0,0.22702702702702704,11.0,68.7,69.8,61.7,185.0,143.0,77.3
Albert Ramos,Hard,184.3,151.6,59.9,29.0,0.20714285714285716,7.0,62.9,70.2,62.3,140.0,111.0,79.3
Alexandr Dolgopolov,Clay,184.3,151.6,59.9,14.0,0.14583333333333334,6.0,76.5,76.8,51.9,96.0,82.0,85.4
Alexandr Dolgopolov,Grass,186.5,154.9,61.5,32.0,0.16243654822335024,10.0,67.9,74.0,64.3,197.0,165.0,83.8
Alexandr Dolgopolov,Hard,178.9,141.6,54.7,89.0,0.24383561643835616,20.0,73.5,73.8,53.6,365.0,276.0,75.6
Andreas Seppi,Clay,183.9,144.3,54.9,53.0,0.26903553299492383,11.0,63.7,67.6,57.1,197.0,144.0,73.1
Andreas Seppi,Grass,182.6,148.2,60.6,36.0,0.18181818181818182,12.0,72.8,77.5,57.3,198.0,162.0,81.8
Andreas Seppi,Hard,183.2,143.1,56.1,103.0,0.19845857418111754,25.0,73.4,76.7,55.1,519.0,416.0,80.2
Andy Murray,Clay,182.3,138.3,59.2,133.0,0.21044303797468356,35.0,75.4,72.9,56.7,632.0,499.0,79.0
Andy Murray,Grass,182.1,139.4,63.9,76.0,0.10555555555555556,43.0,82.1,78.4,59.4,720.0,644.0,89.4
Andy Murray,Hard,182.6,137.3,59.4,218.0,0.17004680187207488,76.0,77.2,76.1,58.4,1282.0,1064.0,83.0
Benoit Paire,Clay,183.8,144.5,48.7,77.0,0.3276595744680851,13.0,63.0,66.9,54.1,235.0,158.0,67.2
Benoit Paire,Grass,187.4,153.6,56.5,58.0,0.21481481481481482,15.0,66.4,75.6,55.9,270.0,212.0,78.5
Benoit Paire,Hard,185.2,146.8,53.0,95.0,0.2602739726027397,19.0,69.4,72.5,55.9,365.0,270.0,74.0
Bernard Tomic,Clay,175.3,143.4,63.5,33.0,0.2462686567164179,8.0,71.4,67.5,51.4,134.0,101.0,75.4
Bernard Tomic,Grass,182.3,151.8,70.5,56.0,0.13725490196078433,21.0,75.8,73.4,58.2,408.0,352.0,86.3
Bernard Tomic,Hard,178.5,144.9,65.9,114.0,0.18719211822660098,33.0,77.2,75.5,50.4,609.0,495.0,81.3
David Ferrer,Clay,178.3,153.8,62.3,93.0,0.19787234042553192,30.0,77.0,72.9,59.3,470.0,377.0,80.2
David Ferrer,Grass,177.8,159.7,64.8,60.0,0.16042780748663102,22.0,70.3,69.0,58.0,374.0,314.0,84.0
David Ferrer,Hard,176.8,149.5,62.6,194.0,0.20082815734989648,57.0,75.4,70.1,59.6,966.0,772.0,79.9
David Goffin,Clay,178.6,144.7,56.6,59.0,0.21851851851851853,16.0,81.6,74.5,60.8,270.0,211.0,78.1
David Goffin,Grass,178.0,150.2,58.6,32.0,0.1553398058252427,13.0,78.0,78.0,62.2,206.0,174.0,84.5
David Goffin,Hard,173.9,139.0,55.3,102.0,0.2372093023255814,25.0,75.9,72.9,57.5,430.0,328.0,76.3
Denis Istomin,Clay,182.3,152.9,63.3,44.0,0.3333333333333333,9.0,69.7,65.5,57.6,132.0,88.0,66.7
Denis Istomin,Grass,184.3,151.6,66.6,38.0,0.1645021645021645,12.0,74.4,71.6,61.5,231.0,193.0,83.5
Denis Istomin,Hard,184.1,140.3,65.7,69.0,0.23469387755102042,15.0,75.0,71.8,48.2,294.0,225.0,76.5
Dominic Thiem,Clay,179.0,156.5,56.5,50.0,0.19083969465648856,16.0,71.0,74.0,59.8,262.0,212.0,80.9
Dominic Thiem,Grass,195.0,158.3,57.5,26.0,0.13756613756613756,10.0,78.1,77.9,61.1,189.0,163.0,86.2
Dominic Thiem,Hard,181.7,151.7,60.0,77.0,0.1696035242290749,25.0,74.9,74.9,58.2,454.0,377.0,83.0
Donald Young,Clay,172.7,138.5,61.3,31.0,0.2743362831858407,6.0,59.4,66.6,57.2,113.0,82.0,72.6
Donald Young,Grass,184.3,151.6,64.7,33.0,0.2727272727272727,7.0,66.5,70.4,48.8,121.0,88.0,72.7
Donald Young,Hard,170.6,142.3,61.3,129.0,0.3233082706766917,23.0,68.5,66.0,55.5,399.0,270.0,67.7
Ernests Gulbis,Clay,204.0,168.2,57.1,45.0,0.21844660194174756,13.0,62.2,74.4,62.8,206.0,161.0,78.2
Ernests Gulbis,Grass,198.4,170.1,61.8,44.0,0.16,15.0,74.0,76.6,58.8,275.0,231.0,84.0
Ernests Gulbis,Hard,184.3,151.6,57.6,26.0,0.18840579710144928,7.0,86.7,80.7,62.2,138.0,112.0,81.2
Fabio Fognini,Clay,169.0,141.5,60.7,67.0,0.24632352941176472,16.0,66.9,65.8,57.5,272.0,205.0,75.4
Fabio Fognini,Grass,184.3,151.6,60.2,64.0,0.23529411764705882,15.0,68.0,72.7,59.7,272.0,208.0,76.5
Fabio Fognini,Hard,172.3,137.6,55.0,104.0,0.2913165266106443,20.0,67.4,70.7,58.1,357.0,253.0,70.9
Feliciano Lopez,Clay,187.8,156.2,62.2,47.0,0.27167630057803466,11.0,71.2,70.4,49.1,173.0,126.0,72.8
Feliciano Lopez,Grass,197.9,170.4,58.5,44.0,0.13836477987421383,17.0,69.9,79.1,63.6,318.0,274.0,86.2
Feliciano Lopez,Hard,195.1,162.4,56.0,113.0,0.19720767888307156,31.0,73.3,75.7,55.2,573.0,460.0,80.3
Fernando Verdasco,Clay,168.9,142.0,72.6,62.0,0.19375,17.0,72.2,67.4,64.9,320.0,258.0,80.6
Fernando Verdasco,Grass,184.8,152.5,59.0,43.0,0.13522012578616352,15.0,74.4,77.3,60.9,318.0,275.0,86.5
Fernando Verdasco,Hard,181.7,148.8,63.0,111.0,0.21183206106870228,28.0,73.1,71.4,52.7,524.0,413.0,78.8
Florian Mayer,Clay,184.3,151.6,59.7,23.0,0.39655172413793105,4.0,63.2,57.3,44.3,58.0,35.0,60.3
Florian Mayer,Grass,183.1,139.0,64.2,32.0,0.19875776397515527,10.0,75.1,75.2,55.0,161.0,129.0,80.1
Florian Mayer,Hard,183.6,140.4,62.4,51.0,0.265625,13.0,75.2,62.0,53.4,192.0,141.0,73.4
Gael Monfils,Clay,183.0,153.5,67.9,79.0,0.21584699453551912,19.0,76.1,69.9,56.5,366.0,287.0,78.4
Gael Monfils,Grass,187.7,160.0,66.0,41.0,0.1443661971830986,14.0,78.4,76.6,60.0,284.0,243.0,85.6
Gael Monfils,Hard,184.3,153.3,61.5,147.0,0.1926605504587156,44.0,74.6,75.0,60.9,763.0,616.0,80.7
Gilles Muller,Clay,185.6,151.4,57.8,21.0,0.2625,4.0,65.5,73.4,52.6,80.0,59.0,73.8
Gilles Muller,Grass,180.9,158.9,64.2,28.0,0.0958904109589041,14.0,76.7,81.7,57.9,292.0,264.0,90.4
Gilles Muller,Hard,185.3,158.4,58.3,38.0,0.1589958158995816,13.0,75.5,82.0,59.4,239.0,201.0,84.1
Gilles Simon,Clay,164.7,134.9,53.7,104.0,0.2619647355163728,22.0,71.7,68.1,56.3,397.0,293.0,73.8
Gilles Simon,Grass,176.1,138.1,58.2,58.0,0.1676300578034682,20.0,76.4,74.6,59.4,346.0,288.0,83.2
Gilles Simon,Hard,174.5,133.9,60.6,139.0,0.2231139646869984,32.0,75.2,71.4,60.4,623.0,484.0,77.7
Grigor Dimitrov,Clay,187.4,157.6,59.2,37.0,0.22839506172839505,10.0,72.7,76.3,56.1,162.0,125.0,77.2
Grigor Dimitrov,Grass,195.0,156.0,64.5,45.0,0.1196808510638298,22.0,76.3,80.3,63.2,376.0,331.0,88.0
Grigor Dimitrov,Hard,189.4,147.4,62.3,108.0,0.18717504332755633,32.0,74.7,76.3,57.5,577.0,469.0,81.3
Guillermo Garcia Lopez,Clay,180.5,140.3,52.2,63.0,0.27631578947368424,13.0,67.0,68.6,54.6,228.0,165.0,72.4
Guillermo Garcia Lopez,Grass,184.3,151.6,60.2,24.0,0.22429906542056074,6.0,57.0,72.6,50.7,107.0,83.0,77.6
Guillermo Garcia Lopez,Hard,180.3,140.9,54.3,61.0,0.2147887323943662,16.0,64.5,75.1,57.9,284.0,223.0,78.5
Ivo Karlovic,Clay,201.8,186.3,63.8,14.0,0.0979020979020979,8.0,77.8,81.5,57.7,143.0,129.0,90.2
Ivo Karlovic,Grass,198.5,185.2,70.2,19.0,0.0683453237410072,12.0,77.4,83.3,65.3,278.0,259.0,93.2
Ivo Karlovic,Hard,202.3,183.2,64.8,29.0,0.11885245901639344,12.0,75.5,81.3,64.9,244.0,215.0,88.1
Jack Sock,Clay,186.9,159.1,53.4,42.0,0.22826086956521738,11.0,67.2,73.7,56.4,184.0,142.0,77.2
Jack Sock,Grass,187.9,165.3,59.3,22.0,0.12290502793296089,9.0,72.6,76.1,66.0,179.0,157.0,87.7
Jack Sock,Hard,184.3,163.7,60.8,80.0,0.1937046004842615,24.0,76.2,74.9,62.1,413.0,333.0,80.6
Janko Tipsarevic,Clay,184.3,151.6,49.5,34.0,0.2073170731707317,10.0,72.1,64.3,51.1,164.0,130.0,79.3
Janko Tipsarevic,Grass,185.9,147.3,55.4,23.0,0.2,8.0,58.8,53.9,46.5,115.0,92.0,80.0
Janko Tipsarevic,Hard,182.5,143.5,52.3,67.0,0.1717948717948718,21.0,76.0,81.0,59.5,390.0,323.0,82.8
Jeremy Chardy,Clay,191.3,154.1,64.6,57.0,0.22178988326848248,16.0,73.3,73.0,55.5,257.0,200.0,77.8
Jeremy Chardy,Grass,192.6,164.2,64.0,43.0,0.16996047430830039,13.0,69.9,78.1,55.4,253.0,210.0,83.0
Jeremy Chardy,Hard,191.7,160.9,60.4,87.0,0.25217391304347825,20.0,70.3,71.8,54.9,345.0,258.0,74.8
Jerzy Janowicz,Clay,193.8,165.6,61.8,22.0,0.2,6.0,61.6,74.0,56.7,110.0,88.0,80.0
Jerzy Janowicz,Grass,190.6,156.4,58.9,32.0,0.11469534050179211,14.0,77.4,79.4,58.7,279.0,247.0,88.5
Jerzy Janowicz,Hard,195.5,157.4,62.5,69.0,0.23958333333333334,15.0,65.3,68.8,59.2,288.0,219.0,76.0
Jo Wilfried Tsonga,Clay,185.7,145.2,64.4,74.0,0.16481069042316257,27.0,75.2,76.3,54.0,449.0,375.0,83.5
Jo Wilfried Tsonga,Grass,189.7,151.4,65.8,44.0,0.08163265306122448,28.0,80.7,82.7,60.5,539.0,495.0,91.8
Jo Wilfried Tsonga,Hard,191.2,144.9,59.2,101.0,0.12438423645320197,48.0,76.7,80.8,60.3,812.0,711.0,87.6
Joao Sousa,Clay,178.7,145.7,59.6,28.0,0.345679012345679,6.0,61.0,68.3,42.9,81.0,53.0,65.4
Joao Sousa,Grass,184.3,151.6,69.6,28.0,0.21052631578947367,7.0,69.4,73.2,51.4,133.0,105.0,78.9
Joao Sousa,Hard,180.2,144.6,62.9,65.0,0.28634361233480177,13.0,73.3,68.4,52.0,227.0,162.0,71.4
John Isner,Clay,197.7,172.4,68.0,42.0,0.10552763819095477,18.0,78.1,77.5,58.8,398.0,356.0,89.4
John Isner,Grass,203.5,181.4,74.6,25.0,0.054945054945054944,20.0,82.4,83.8,63.0,455.0,430.0,94.5
John Isner,Hard,201.9,173.8,68.6,66.0,0.07630057803468208,43.0,80.2,82.9,65.7,865.0,799.0,92.4
Juan Martin Del Potro,Clay,184.3,151.6,65.7,33.0,0.19411764705882353,10.0,73.8,75.1,55.3,170.0,137.0,80.6
Juan Martin Del Potro,Grass,193.5,161.4,64.9,47.0,0.10904872389791183,24.0,84.3,79.2,59.9,431.0,384.0,89.1
